positionne,distanceli,nom,typecapteu,typepostem,nbvoies,moyennejou,debithorai,horairedeb,identifian,identifia0,anneerefer,estvalide,gid,date
555_VL,242,555_Dufour_Pasteur_Crepieux,Capteur inductif Criter,Comptage tous véhicules,2,12029.0,1024.0,19h00,555,2666,2023.0,,1969,2025-03-24
424_VL,81,424_de Gaulle_Amadeo_Cot,Capteur inductif Criter,Comptage tous véhicules,2,12812.0,1205.0,17h00,424,2186,2023.0,,2221,2025-03-18
651_SN,0,651_Velo_La_Feuillee_E/O,Capteur inductif Criter,Comptage vélo,1,1613.0,199.0,18h00,651,-1,2022.0,,2086,2025-02-14
2024_VR,0,2024_Voie_A7_Confluence_Paris_2,Capteur inductif Criter,Comptage tous véhicules,3,51785.0,3768.0,07h00,2024,-1,2022.0,,209,2025-03-05
1635_CS,0,1635_Velo_Augagneur SN,Capteur inductif Criter,Comptage vélo,1,4478.0,526.0,18h00,1635,-1,2023.0,,1003,2025-03-17
2195_V,97,2195_Beauvisage_Arrachart_Etats Unis,Capteur inductif Criter,Comptage tous véhicules,1,4277.0,368.0,17h00,2195,2832,2023.0,,61,2025-02-20
1262_V,73,1262_Mitterand_Utrillo_Maupassant,Capteur inductif Criter,Comptage tous véhicules,1,5221.0,533.0,17h00,1262,2133,2023.0,,1210,2025-01-17
1814_VR,0,1814_Voie_PLB_Etats-Unis_Paris,Capteur inductif Criter,Comptage tous véhicules,3,46045.0,3426.0,07h00,1814,-1,2021.0,,1071,2025-02-03
1407_V,137,1407_Fayolle_Lyon_Cordier,Capteur inductif Criter,Comptage tous véhicules,1,707.0,113.0,17h00,1407,-1,2023.0,,1143,2025-01-21
1911_VR,0,1911_Voie_N346_Decine_Marseille_5,Capteur inductif Criter,Comptage tous véhicules,2,45033.0,3421.0,16h00,1911,-1,2023.0,,403,2025-03-10
1464_VR,999,1464_Pont Poincarre SN,Capteur inductif Criter,Comptage tous véhicules,2,14677.0,1295.0,18h00,1464,-1,2023.0,,883,2025-01-15
1026_VR,86,1026_Tchecoslovaques_Berthelot_Veyron,Capteur inductif Criter,Comptage tous véhicules,3,17024.0,1267.0,08h00,1026,596,2023.0,,1460,2025-01-15
1461_V,63,1461_Perrier_Smith_Charlemagne,Capteur inductif Criter,Comptage tous véhicules,1,2411.0,237.0,18h00,1461,663,2023.0,,877,2025-02-23
2140_V,104,2140_Republique_Pl. A. Thomas_Becker,Capteur inductif Criter,Comptage tous véhicules,1,3321.0,340.0,08h00,2140,2077,2023.0,,680,2025-03-02
777_V,154,777_St.Vincent_Butte_Roche,Capteur inductif Criter,Comptage tous véhicules,1,5620.0,421.0,18h00,777,143,2023.0,,1807,2025-02-01
746_VM,95,746_Mouillard_Scyr_25e RTS,Capteur inductif Criter,Comptage tous véhicules,1,7089.0,607.0,16h00,746,-1,2023.0,,2049,2025-03-21
1321_V,88,1321_Semard_Peloux_Republique,Capteur inductif Criter,Comptage tous véhicules,1,3480.0,294.0,14h00,1321,2668,2023.0,,1283,2025-04-06
1963_VR,0,1963_Voie_A43_PortedeAlpes_Grenoble,Capteur inductif Criter,Comptage tous véhicules,3,59290.0,4551.0,16h00,1963,-1,2023.0,,72,2025-02-28
316_V,81,316_Santy_Varichon_Sarrazin,Capteur inductif Criter,Comptage tous véhicules,1,2701.0,247.0,08h00,316,702,2023.0,,2345,2025-02-16
818_VL,107,818_Brotteaux_Bossuet_Bugeaud,Capteur inductif Criter,Comptage tous véhicules,2,6440.0,502.0,17h00,818,2858,2023.0,,1833,2025-02-23
1892_VL,0,1892_Entrée_A42_Paris_Lyon_4,Capteur inductif Criter,Comptage tous véhicules,2,34799.0,3070.0,17h00,1892,-1,2023.0,,748,2025-01-29
1949_VL,0,1949_Voie_N346_Saint_Priest_Paris_2,Capteur inductif Criter,Comptage tous véhicules,2,44177.0,3593.0,08h00,1949,-1,2023.0,,116,2025-01-28
825_V,120,825_Salengro_Descartes_Cambon,Capteur inductif Criter,Comptage tous véhicules,1,5297.0,363.0,13h00,825,2047,2023.0,,1813,2025-04-09
1417_V,85,1417_25é Regiment T.S  Ta D_Giratoire_Simon,Capteur inductif Criter,Comptage tous véhicules,1,5082.0,425.0,12h00,1417,377,2023.0,,1150,2025-01-14
452_V,143,452_Henon_Lassalle_Perron,Capteur inductif Criter,Comptage tous véhicules,1,1294.0,159.0,18h00,452,124,2023.0,,2292,2025-01-17
1197_V,52,1197_Bert_Cuirassiers_Banniere,Capteur inductif Criter,Comptage tous véhicules,1,4800.0,370.0,08h00,1197,617,2020.0,,1608,2025-03-01
1615_V,86,1615_Bruissin_Belvedere_Fort,Capteur inductif Criter,Comptage tous véhicules,1,2313.0,438.0,17h00,1615,2641,2021.0,,947,2025-04-02
465_SN,0,465_Velo_E. Unis NS,Capteur inductif Criter,Comptage vélo,1,454.0,73.0,08h00,465,-1,2022.0,,2311,2025-01-22
1165_SN,0,1165_Velo_Pt_Mulatière_Est_SN,Capteur inductif Criter,Comptage vélo,1,956.0,216.0,18h00,1165,-1,2022.0,,644,2025-01-15
1080_VR,82,1080_Thiers_Viabert_Gaité,Capteur inductif Criter,Comptage tous véhicules,2,7921.0,630.0,17h00,1080,309,2023.0,,1438,2025-03-07
1994_VM,0,1994_Voie_A6_Ecully_Paris_4,Capteur inductif Criter,Comptage tous véhicules,3,62639.0,5343.0,08h00,1994,-1,2023.0,,307,2025-01-22
1233_V,80,1233_Collongue_Eclole Centrale_Charbonnieres,Capteur inductif Criter,Comptage tous véhicules,1,4448.0,522.0,17h00,1233,-1,2023.0,,1287,2025-02-28
1260_V,85,1260_Rousset_Maison Forte_de Lattre de Tassigny,Capteur inductif Criter,Comptage tous véhicules,1,4201.0,397.0,08h00,1260,-1,2023.0,,1204,2025-04-03
697_VR,0,697_INT_Quai_Bellevue,Capteur inductif Criter,Comptage tous véhicules,2,16068.0,1491.0,17h00,697,-1,2023.0,,2155,2025-02-11
508_V,88,508_Mouillard_25 RTS_St Cyr,Capteur inductif Criter,Comptage tous véhicules,1,7313.0,567.0,19h00,508,383,2023.0,,1911,2025-01-18
2131_V,0,2131_Entrée_A47_Chasse-sur-Rhône_Geneve,Capteur inductif Criter,Comptage tous véhicules,1,5741.0,494.0,06h00,2131,-1,2023.0,,186,2025-03-20
280_V,112,280_Faure_Banneniere_Jouhaux,Capteur inductif Criter,Comptage tous véhicules,1,9141.0,681.0,17h00,280,2626,2023.0,,2597,2025-03-16
2271_V,84,2271_DeGaulle_Chambonnet_DroitsDeLHomme,Capteur inductif Criter,Comptage tous véhicules,1,4233.0,448.0,17h00,2271,2129,2023.0,,366,2025-02-04
861_V,68,861_Strasbourg_Poincare_Poumeyrol,Capteur inductif Criter,Comptage tous véhicules,1,8054.0,714.0,17h00,861,2004,2023.0,,2175,2025-01-16
690_VL,0,690_Sortie_Tube_Nord_Rochecardon,Capteur inductif Criter,Comptage tous véhicules,2,17162.0,2162.0,17h00,690,-1,2023.0,,2141,2025-02-09
2060_VL,0,2060_Voie_A450_SaintGenisLaval_Lyon2,Capteur inductif Criter,Comptage tous véhicules,2,32281.0,2700.0,07h00,2060,-1,2023.0,,574,2025-02-09
282_V,104,282_Liberation_Boiron_Razes,Capteur inductif Criter,Comptage tous véhicules,1,6341.0,515.0,18h00,282,872,2023.0,,2598,2025-01-27
1915_VL,0,1915_Voie_N346_Meyzieu_Paris,Capteur inductif Criter,Comptage tous véhicules,2,35227.0,2938.0,17h00,1915,-1,2023.0,,455,2025-01-14
2098_VM,0,2098_Voie_A7_SaintFons_Marseille_2,Capteur inductif Criter,Comptage tous véhicules,3,48981.0,4152.0,15h00,2098,-1,2023.0,,207,2025-03-04
2280_VR,93,2280_Rte Vourles_De Gaulle_A450,Capteur inductif Criter,Comptage tous véhicules,2,103574.0,13719.0,19h00,2280,954,2022.0,,330,2025-03-12
659_SN,0,659_Velo_Farge_SN,Capteur inductif Criter,Comptage vélo,1,1292.0,230.0,08h00,659,-1,2023.0,,2100,2025-01-19
1849_VL,0,1849_Voie_PLB_Montchat_Paris1,Capteur inductif Criter,Comptage tous véhicules,3,69715.0,5389.0,16h00,1849,-1,2023.0,,387,2025-01-17
644_SN,0,644_Velo_Bertin_OE,Capteur inductif Criter,Comptage vélo,1,1155.0,233.0,08h00,644,-1,2022.0,,2074,2025-03-18
1968_VL,0,1968_Voie_N6_A89_Lyon_1,Capteur inductif Criter,Comptage tous véhicules,2,12302.0,1169.0,07h00,1968,-1,2023.0,,220,2025-02-07
1620_V,82,1620_Semard_Aulagne_Grande Rue,Capteur inductif Criter,Comptage tous véhicules,1,4393.0,439.0,17h00,1620,-1,2023.0,,971,2025-03-31
891_VR,130,891_Stalingrad_Melies_11 Novembre_2,Capteur inductif Criter,Comptage tous véhicules,2,11917.0,970.0,16h00,891,354,2023.0,,2181,2025-03-09
158_VR,195,158_A7_Direction Lyon centre,Capteur inductif Criter,Comptage tous véhicules,2,27043.0,2001.0,17h00,158,285,2023.0,,54,2025-03-26
55_V,32,55_Philip_Guerin_Stalingrad,Capteur inductif Criter,Comptage tous véhicules,1,3841.0,278.0,18h00,55,358,2023.0,,2446,2025-02-02
