code_pme;source;code_insee_commune;axe;pr_debut;abscisse_debut;pr_fin;abscisse_fin;sens_gestionnaire;sens_cardinal;sens_migratoire;sens_giratoire;longueur;nb_voies;x_deb;y_deb;x_fin;y_fin;code_traficolor
MWL44.K1;DIRO;524444162;N844;44PR28D;100;44PR28D;280;1;EST_OUEST;Y;INTERIEUR;181;0;350209.28;6688504.5;350209.28;6688504.5;NA44
A0001011503;DIRN;;;;0;;;;;;;0;0;;;;;
MWL44.K2;DIRO;524444162;N844;44PR28G;100;44PR28G;390;1;OUEST_EST;W;EXTERIEUR;290;0;350202.6;6688497.5;350202.6;6688497.5;NA44
A0001011502;DIRN;;;;0;;;;;;;0;0;;;;;
A0001011501;DIRN;;;;0;;;;;;;0;0;;;;;
A0022012200;DIRN;;;;0;;;;;;;0;0;;;;;
MZ357.42;DIRE;415757474;A31;57PR320G;200;57PR322G;1000;1;NORD_SUD;Y;;2792;0;931245.9;6911336.0;930874.25;6913297.0;ME57
M07SF.21;DIRSO;733131555;A62;31PR226DC;650;31PR227DC;550;1;NORD_SUD;Y;INTERIEUR;900;0;573747.3;6284537.0;574718.4;6284285.0;TO31
MZ357.41;DIRE;415757474;A31;57PR320D;200;57PR323D;0;1;SUD_NORD;W;;2793;0;931273.8;6911336.5;930900.6;6914291.5;ME57
M07SF.22;DIRSO;733131555;A62;31PR226GC;650;31PR227GC;550;1;SUD_NORD;W;EXTERIEUR;898;0;573756.3;6284560.5;574714.06;6284304.5;TO31
MB333.M2;DIRA;723333167;N230;33PR38G;329;33PR39G;476;1;NORD_SUD;Y;INTERIEUR;1155;3;423273.97;6420643.5;423407.3;6421573.5;BX33
MB333.M1;DIRA;723333167;N230;33PR38D;337;33PR39D;473;1;SUD_NORD;W;EXTERIEUR;1160;3;423284.94;6420635.5;423420.25;6421577.0;BX33
MWI35.V2;DIRO;;;;;;;;;;;0;0;;;;;
MWI35.V1;DIRO;;;;;;;;;;;0;0;;;;;
MY569.D2;DIRCE;826969204;A450;69PR2G;626;69PR3G;0;1;OUEST_EST;Y;;0;0;841226.06;6511592.0;840432.0;6510986.0;LY69
N0227020802;DIRN;;;;0;;;;;;;0;0;;;;;
A0001A20120;DIRN;;;;0;;;;;;;0;0;;;;;
MM513.U1;DIRMED;931313071;A55;13PR10D;310;13PR10D;722;1;EST_OUEST;W;;410;0;888158.0;6255320.0;888158.0;6255320.0;MA13
MY569.E2;DIRCE;826969204;A450;69PR3G;1;69PR3G;570;1;OUEST_EST;Y;;0;0;840432.0;6510986.0;840432.0;6510986.0;LY69
MbW87.51;DIRCO;;A20;;0;;;1;;;;2387;0;;;;;
MbW87.52;DIRCO;;A20;;0;;;2;;;;2386;0;;;;;
