id,gid,code_zone,zone,date,date_dif,code_pol,polluant,etat,niveau,com_court,commentaire,OBJECTID,SHAPE__Area,SHAPE__Length
59,59,2006,Ouest Ain,2025-01-26,2025-01-25,5,Particules PM10,ALERTE SUR PERSISTANCE,#FFCE19,"Dimanche 14 janvier 2024, les conditions atmosphériques auront peu évolué avec la persistance de l'inversion de température. L'épisode en cours devrait atteindre son maximum d'intensité avec une augmentation des niveaux et une extension géographiqu","Dimanche 14 janvier 2024, les conditions atmosphériques auront peu évolué avec la persistance de l'inversion de température. L'épisode en cours devrait atteindre son maximum d'intensité avec une augmentation des niveaux et une extension géographiqu",59,7304271428.8186,431225.777083065
60,60,2006,Ouest Ain,2025-03-05,2025-03-04,5,Particules PM10,ALERTE SUR PERSISTANCE,#FFCE19,"Dimanche 14 janvier 2024, les conditions atmosphériques auront peu évolué avec la persistance de l'inversion de température. L'épisode en cours devrait atteindre son maximum d'intensité avec une augmentation des niveaux et une extension géographiqu","Dimanche 14 janvier 2024, les conditions atmosphériques auront peu évolué avec la persistance de l'inversion de température. L'épisode en cours devrait atteindre son maximum d'intensité avec une augmentation des niveaux et une extension géographiqu",60,7304271428.8186,431225.777083065
61,61,2014,Zone Alpine Savoie,2025-04-09,2025-04-08,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,61,7855005319.5752,1147978.29816881
62,62,2014,Zone Alpine Savoie,2025-02-23,2025-02-22,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,62,7855005319.5752,1147978.29816881
63,63,2014,Zone Alpine Savoie,2025-03-11,2025-03-10,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,63,7855005319.5752,1147978.29816881
64,64,2014,Zone Alpine Savoie,2025-03-27,2025-03-26,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,64,7855005319.5752,1147978.29816881
65,65,2014,Zone Alpine Savoie,2025-04-02,2025-04-01,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,65,7855005319.5752,1147978.29816881
66,66,2014,Zone Alpine Savoie,2025-01-14,2025-01-13,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,66,7855005319.5752,1147978.29816881
67,67,2008,Vallée de l'Arve,2025-03-20,2025-03-19,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,67,2584846973.62964,342702.15685192
68,68,2008,Vallée de l'Arve,2025-03-24,2025-03-23,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,68,2584846973.62964,342702.15685192
69,69,2008,Vallée de l'Arve,2025-04-05,2025-04-04,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,69,2584846973.62964,342702.15685192
70,70,2008,Vallée de l'Arve,2025-01-24,2025-01-23,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,70,2584846973.62964,342702.15685192
71,71,2008,Vallée de l'Arve,2025-03-24,2025-03-23,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,71,2584846973.62964,342702.15685192
72,72,2008,Vallée de l'Arve,2025-02-28,2025-02-27,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,72,2584846973.62964,342702.15685192
73,73,2003,Bassin Lyon Nord-Isère,2025-03-13,2025-03-12,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,73,10020956140.5537,742502.888790182
74,74,2003,Bassin Lyon Nord-Isère,2025-04-06,2025-04-05,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,74,10020956140.5537,742502.888790182
75,75,2003,Bassin Lyon Nord-Isère,2025-01-28,2025-01-27,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,75,10020956140.5537,742502.888790182
76,76,2003,Bassin Lyon Nord-Isère,2025-01-24,2025-01-23,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,76,10020956140.5537,742502.888790182
77,77,2003,Bassin Lyon Nord-Isère,2025-03-24,2025-03-23,5,Particules PM10,ALERTE SUR PERSISTANCE,#FFCE19,"Dimanche 14 janvier 2024, les conditions atmosphériques auront peu évolué avec la persistance de l'inversion de température. L'épisode en cours devrait atteindre son maximum d'intensité avec une augmentation des niveaux et une extension géographiqu","Dimanche 14 janvier 2024, les conditions atmosphériques auront peu évolué avec la persistance de l'inversion de température. L'épisode en cours devrait atteindre son maximum d'intensité avec une augmentation des niveaux et une extension géographiqu",77,10020956140.5537,742502.888790182
78,78,2003,Bassin Lyon Nord-Isère,2025-02-20,2025-02-19,5,Particules PM10,ALERTE SUR PERSISTANCE,#FFCE19,"Dimanche 14 janvier 2024, les conditions atmosphériques auront peu évolué avec la persistance de l'inversion de température. L'épisode en cours devrait atteindre son maximum d'intensité avec une augmentation des niveaux et une extension géographiqu","Dimanche 14 janvier 2024, les conditions atmosphériques auront peu évolué avec la persistance de l'inversion de température. L'épisode en cours devrait atteindre son maximum d'intensité avec une augmentation des niveaux et une extension géographiqu",78,10020956140.5537,742502.888790182
79,79,2000,Bassin Grenoblois,2025-01-16,2025-01-15,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,79,1728482137.27905,400232.762903863
80,80,2000,Bassin Grenoblois,2025-01-14,2025-01-13,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,80,1728482137.27905,400232.762903863
81,81,2000,Bassin Grenoblois,2025-03-03,2025-03-02,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,81,1728482137.27905,400232.762903863
82,82,2000,Bassin Grenoblois,2025-04-02,2025-04-01,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,82,1728482137.27905,400232.762903863
83,83,2000,Bassin Grenoblois,2025-03-23,2025-03-22,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,83,1728482137.27905,400232.762903863
84,84,2000,Bassin Grenoblois,2025-03-09,2025-03-08,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,84,1728482137.27905,400232.762903863
85,85,2005,Est Drôme,2025-02-18,2025-02-17,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,85,7994865760.47021,625055.445346144
86,86,2005,Est Drôme,2025-01-30,2025-01-29,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,86,7994865760.47021,625055.445346144
87,87,2005,Est Drôme,2025-03-06,2025-03-05,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,87,7994865760.47021,625055.445346144
88,88,2005,Est Drôme,2025-03-27,2025-03-26,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,88,7994865760.47021,625055.445346144
89,89,2005,Est Drôme,2025-01-30,2025-01-29,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,89,7994865760.47021,625055.445346144
90,90,2005,Est Drôme,2025-01-15,2025-01-14,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,90,7994865760.47021,625055.445346144
91,91,2009,Vallée du Rhône,2025-02-08,2025-02-07,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,91,6760147455.34399,714147.276907234
92,92,2009,Vallée du Rhône,2025-03-14,2025-03-13,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,92,6760147455.34399,714147.276907234
93,93,2009,Vallée du Rhône,2025-03-22,2025-03-21,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,93,6760147455.34399,714147.276907234
94,94,2009,Vallée du Rhône,2025-02-16,2025-02-15,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,94,6760147455.34399,714147.276907234
95,95,2009,Vallée du Rhône,2025-03-06,2025-03-05,5,Particules PM10,INFORMATION ET RECOMMANDATION,#FEFE00,"Dimanche 14 janvier 2024, les conditions atmosphériques auront peu évolué avec la persistance de l'inversion de température. L'épisode en cours devrait atteindre son maximum d'intensité avec une augmentation des niveaux et une extension géographiqu","Dimanche 14 janvier 2024, les conditions atmosphériques auront peu évolué avec la persistance de l'inversion de température. L'épisode en cours devrait atteindre son maximum d'intensité avec une augmentation des niveaux et une extension géographiqu",95,6760147455.34399,714147.276907234
