id,code_zone,lib_zone,date_ech,date_dif,code_pol,lib_pol,etat,couleur,com_court,com_long,longitude,latitude
36,2011,Zone des Coteaux,2024-01-14 00:00:00+00:00,2024-01-13 00:00:00+00:00,5,Particules PM10,ALERTE SUR PERSISTANCE,#FFCE19,"Dimanche 14 janvier 2024, les conditions atmosphériques auront peu évolué avec la persistance de l'inversion de température. L'épisode en cours devrait atteindre son maximum d'intensité avec une augmentation des niveaux et une extension géographiqu","Dimanche 14 janvier 2024, les conditions atmosphériques auront peu évolué avec la persistance de l'inversion de température. L'épisode en cours devrait atteindre son maximum d'intensité avec une augmentation des niveaux et une extension géographiqu",4.570351392,45.582501582
37,2012,Zone urbaine des Pays de Savoie,2024-01-14 00:00:00+00:00,2024-01-13 00:00:00+00:00,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,6.460261825,45.683970925
38,2012,Zone urbaine des Pays de Savoie,2024-01-13 00:00:00+00:00,2024-01-13 00:00:00+00:00,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,6.460261825,45.683970925
39,2012,Zone urbaine des Pays de Savoie,2024-01-14 00:00:00+00:00,2024-01-13 00:00:00+00:00,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,6.460261825,45.683970925
40,2012,Zone urbaine des Pays de Savoie,2024-01-13 00:00:00+00:00,2024-01-13 00:00:00+00:00,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,6.460261825,45.683970925
41,2012,Zone urbaine des Pays de Savoie,2024-01-14 00:00:00+00:00,2024-01-13 00:00:00+00:00,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,6.460261825,45.683970925
42,2012,Zone urbaine des Pays de Savoie,2024-01-13 00:00:00+00:00,2024-01-13 00:00:00+00:00,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,6.460261825,45.683970925
43,2001,Bassin Lémanique,2024-01-14 00:00:00+00:00,2024-01-13 00:00:00+00:00,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,5.809577462,45.993344217
44,2001,Bassin Lémanique,2024-01-13 00:00:00+00:00,2024-01-13 00:00:00+00:00,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,5.809577462,45.993344217
45,2001,Bassin Lémanique,2024-01-14 00:00:00+00:00,2024-01-13 00:00:00+00:00,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,5.809577462,45.993344217
46,2001,Bassin Lémanique,2024-01-13 00:00:00+00:00,2024-01-13 00:00:00+00:00,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,5.809577462,45.993344217
47,2001,Bassin Lémanique,2024-01-14 00:00:00+00:00,2024-01-13 00:00:00+00:00,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,5.809577462,45.993344217
48,2001,Bassin Lémanique,2024-01-13 00:00:00+00:00,2024-01-13 00:00:00+00:00,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,5.809577462,45.993344217
49,2002,Bassin Stéphanois,2024-01-14 00:00:00+00:00,2024-01-13 00:00:00+00:00,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,4.226570306,45.390175614
50,2002,Bassin Stéphanois,2024-01-13 00:00:00+00:00,2024-01-13 00:00:00+00:00,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,4.226570306,45.390175614
