code_insee_commune,axe,x_deb,y_deb,x_fin,y_fin,longueur,code_traficolor
723333318.0,A63,412830.66,6416491.0,412408.56,6415755.5,1388,BX33
931313071.0,A7,886686.06,6258819.5,887667.9,6258900.5,498,MA13
237676540.0,N28,562586.0,6927820.0,562995.94,6928131.0,627,RO76
931313055.0,A50,899136.1,6246741.0,900066.7,6247073.0,498,MA13
237676540.0,N28,562579.0,6927827.0,562995.0,6928148.5,621,RO76
723333013.0,N230,423310.2,6424567.5,423122.25,6425538.0,1188,BX33
723333013.0,N230,423324.0,6424567.5,423135.28,6425542.0,1169,BX33
826969091.0,A47,836392.5,6499881.5,835531.7,6499384.0,769,ST42
237676498.0,N338,558643.1,6926645.5,559246.44,6927653.0,513,RO76
237676498.0,N338,558660.44,6926639.0,559259.44,6927635.0,510,RO76
826969091.0,A47,836387.6,6499891.5,835524.7,6499392.5,767,ST42
723333162.0,A630,410801.12,6424324.0,410392.3,6423622.0,1052,BX33
931313071.0,A7,887667.9,6258900.5,887667.9,6258900.5,501,MA13
931313055.0,A50,897290.0,6246017.5,898254.6,6246268.5,502,MA13
931313071.0,A55,884532.0,6257481.0,884532.0,6257481.0,497,MA13
524444114.0,N844,350626.9,6694254.0,350626.9,6694254.0,860,NA44
237676498.0,N338,558660.44,6926639.0,558660.44,6926639.0,830,RO76
931313001.0,A51,894831.94,6268116.5,894711.5,6269112.0,502,MA13
237676498.0,N338,558643.1,6926645.5,558643.1,6926645.5,833,RO76
723333249.0,A630,422479.7,6426786.5,422479.7,6426786.5,418,BX33
723333249.0,A630,422479.5,6426797.0,422479.5,6426797.0,700,BX33
251414101.0,N814,450401.75,6903949.0,450130.3,6902988.5,822,CA14
237676212.0,N28,565437.56,6929966.5,564943.25,6930978.5,936,RO76
237676212.0,N28,565427.5,6929973.0,564930.56,6930977.5,906,RO76
723333281.0,A630,409539.47,6421875.5,409711.9,6419884.5,896,BX33
723333281.0,A630,409596.62,6421036.0,409715.88,6419885.5,779,BX33
251414101.0,N814,450379.78,6903953.5,450112.53,6902997.5,818,CA14
931313071.0,A7,887667.9,6258900.5,888626.3,6259205.0,508,MA13
931313055.0,A50,898254.6,6246268.5,898254.6,6246268.5,504,MA13
237676322.0,N338,557105.9,6923913.5,557477.5,6924842.0,948,RO76
723333122.0,A63,403194.47,6408303.5,399474.03,6405016.5,3562,BX33
237676322.0,N338,557105.9,6923913.5,557496.3,6924835.0,942,RO76
723333122.0,A63,403174.47,6408319.5,399460.53,6405039.5,3591,BX33
524444162.0,N844,350673.5,6693258.5,350673.5,6693258.5,399,NA44
836363404.0,A75,718757.25,6497319.0,720050.4,6492405.0,6562,DIRMC
836363404.0,A75,718741.2,6497315.5,720037.94,6492413.5,6555,DIRMC
